,"(p,d,q)",AIC
0,"(3, 2, 3)",115.26941759951809
1,"(3, 2, 1)",115.62498000141396
2,"(3, 2, 2)",115.67200710986037
3,"(3, 2, 0)",154.43070090571857
4,"(0, 2, 3)",194.65471639269032
5,"(0, 2, 2)",209.2744714447616
6,"(2, 2, 3)",220.66703141773667
7,"(1, 2, 3)",228.26773101396162
8,"(1, 2, 2)",228.93577578751731
9,"(2, 2, 2)",229.9746734832058
10,"(2, 2, 1)",234.50111250594912
11,"(1, 2, 1)",236.11729071006258
12,"(0, 2, 1)",252.60101930869533
13,"(2, 2, 0)",280.2999074786175
14,"(1, 2, 0)",280.38938619198274
15,"(0, 2, 0)",320.3244349507164
