,"(p,d,q,P,D,Q,s)",AIC
0,"(11, 2, 3, 0, 0, 0, 12)",1016.8419880779338
1,"(11, 2, 4, 0, 0, 0, 12)",1019.0348411894533
2,"(11, 2, 5, 0, 0, 0, 12)",1020.3779102641498
3,"(12, 2, 0, 0, 0, 0, 12)",1020.5199360432348
4,"(11, 2, 1, 0, 0, 0, 12)",1021.0255798661547
5,"(11, 2, 7, 0, 0, 0, 12)",1021.6628354342483
6,"(12, 2, 1, 0, 0, 0, 12)",1022.6401938229571
7,"(11, 2, 2, 0, 0, 0, 12)",1022.8307111688919
8,"(11, 2, 8, 0, 0, 0, 12)",1023.2562865970508
9,"(12, 2, 3, 0, 0, 0, 12)",1023.3314374324357
10,"(11, 2, 6, 0, 0, 0, 12)",1023.4037970386505
11,"(12, 2, 4, 0, 0, 0, 12)",1024.6946661076825
12,"(12, 2, 5, 0, 0, 0, 12)",1025.5211765850777
13,"(12, 2, 2, 0, 0, 0, 12)",1025.9267401688169
14,"(11, 2, 0, 0, 0, 0, 12)",1026.9183593603984
15,"(11, 2, 9, 0, 0, 0, 12)",1027.2399669352167
16,"(11, 2, 10, 0, 0, 0, 12)",1027.293461368006
17,"(12, 2, 6, 0, 0, 0, 12)",1029.2288311933553
18,"(12, 2, 10, 0, 0, 0, 12)",1030.931437129895
19,"(10, 2, 5, 0, 0, 0, 12)",1031.0172715986687
20,"(12, 2, 11, 0, 0, 0, 12)",1031.0576336328004
21,"(11, 2, 11, 0, 0, 0, 12)",1031.1873800171954
22,"(12, 2, 12, 0, 0, 0, 12)",1031.2665538628378
23,"(11, 2, 12, 0, 0, 0, 12)",1032.0585553207657
24,"(12, 2, 8, 0, 0, 0, 12)",1032.3436797994373
25,"(12, 2, 9, 0, 0, 0, 12)",1032.3775920458327
26,"(10, 2, 9, 0, 0, 0, 12)",1033.045560653307
27,"(12, 2, 7, 0, 0, 0, 12)",1033.0696626759745
28,"(10, 2, 10, 0, 0, 0, 12)",1036.2216696086773
29,"(10, 2, 7, 0, 0, 0, 12)",1036.734014536702
30,"(10, 2, 4, 0, 0, 0, 12)",1040.4874808192308
31,"(10, 2, 6, 0, 0, 0, 12)",1040.6005803735316
32,"(10, 2, 8, 0, 0, 0, 12)",1053.1334422883015
33,"(10, 2, 11, 0, 0, 0, 12)",1083.2773207340256
34,"(10, 2, 3, 0, 0, 0, 12)",1085.746733884469
35,"(10, 2, 2, 0, 0, 0, 12)",1089.3337206713597
36,"(10, 2, 1, 0, 0, 0, 12)",1106.8540260314576
37,"(10, 2, 12, 0, 0, 0, 12)",1112.5005747279156
38,"(8, 2, 10, 0, 0, 0, 12)",1129.288911394338
39,"(8, 2, 8, 0, 0, 0, 12)",1134.833976271291
40,"(9, 2, 10, 0, 0, 0, 12)",1136.8198889878872
41,"(9, 2, 8, 0, 0, 0, 12)",1142.8396434821138
42,"(9, 2, 6, 0, 0, 0, 12)",1144.4494307384932
43,"(9, 2, 9, 0, 0, 0, 12)",1146.4135621070313
44,"(9, 2, 12, 0, 0, 0, 12)",1152.0147400050232
45,"(9, 2, 11, 0, 0, 0, 12)",1155.694112544616
46,"(8, 2, 7, 0, 0, 0, 12)",1158.514573345177
47,"(9, 2, 7, 0, 0, 0, 12)",1159.6804410181237
48,"(8, 2, 12, 0, 0, 0, 12)",1159.9889172489814
49,"(5, 2, 11, 0, 0, 0, 12)",1165.6387646541139
50,"(8, 2, 6, 0, 0, 0, 12)",1166.0379286253478
51,"(5, 2, 12, 0, 0, 0, 12)",1166.7343786319698
52,"(2, 2, 12, 0, 0, 0, 12)",1172.0439794778417
53,"(7, 2, 12, 0, 0, 0, 12)",1173.3087996410877
54,"(9, 2, 5, 0, 0, 0, 12)",1173.3273479373076
55,"(8, 2, 5, 0, 0, 0, 12)",1173.5226885353225
56,"(9, 2, 4, 0, 0, 0, 12)",1174.5689358522466
57,"(8, 2, 2, 0, 0, 0, 12)",1178.9103894876685
58,"(6, 2, 9, 0, 0, 0, 12)",1180.267793919445
59,"(0, 2, 11, 0, 0, 0, 12)",1181.8094299006839
60,"(4, 2, 11, 0, 0, 0, 12)",1182.3991441061064
61,"(4, 2, 12, 0, 0, 0, 12)",1183.0016468645174
62,"(8, 2, 11, 0, 0, 0, 12)",1183.1910282217605
63,"(6, 2, 10, 0, 0, 0, 12)",1184.2645777952328
64,"(8, 2, 9, 0, 0, 0, 12)",1184.296844887796
65,"(8, 2, 4, 0, 0, 0, 12)",1186.3529046099998
66,"(7, 2, 10, 0, 0, 0, 12)",1187.8770412858235
67,"(2, 2, 10, 0, 0, 0, 12)",1188.1238859614755
68,"(1, 2, 10, 0, 0, 0, 12)",1188.9689567685216
69,"(3, 2, 11, 0, 0, 0, 12)",1189.0428794530194
70,"(6, 2, 12, 0, 0, 0, 12)",1189.4847858642097
71,"(0, 2, 10, 0, 0, 0, 12)",1191.2351555525213
72,"(4, 2, 9, 0, 0, 0, 12)",1191.5981765782462
