,bandwidth_diff
0,0.4726941070327939
1,1.0766110447762003
2,2.6560989486397375
3,2.7456982329136963
4,2.24616385390334
5,3.412326730080963
6,4.367634923903438
7,3.842463604883392
8,3.8020939665535707
9,3.0599668420388753
10,2.1907983771238833
11,1.9367270709794866
12,-0.10071400433412236
13,-2.4391534571761895
14,-3.5439752949350805
15,-4.425453822321629
16,-3.99837434331198
17,-4.461241256739413
18,-5.606647955905828
19,-4.158646238755182
20,-3.506060755599947
21,-2.9322990037987893
22,-4.15239474119403
23,-4.642837397204403
24,-4.414780029901181
25,-4.992774172510849
26,-4.481924916300386
27,-4.583230855268766
28,-4.472987805605612
29,-4.8121239975032495
30,-2.6012607134143764
31,-1.7914368765272002
32,-2.4059795018283694
33,-1.8231357652454108
34,-2.6024910612102303
35,-2.413522149160144
36,-4.235653823194639
37,-5.6337569181233675
38,-5.563373939881444
39,-4.13560598161439
40,-3.251390369926753
41,-2.880638668201641
42,-2.9300826108519686
43,-4.19145639679607
44,-4.989067024770748
45,-5.294175472197594
46,-3.8150173483741128
47,-2.7492067991846625
48,-3.9513939448033852
49,-3.838130084938598
50,-3.8645986550011457
51,-4.1206534604820035
52,-3.405193165019
53,-1.805608892336295
54,-0.2557649409657188
55,-0.6789724359560978
56,-1.137067485365037
57,-0.9135114519777972
58,0.3109259807949911
59,0.14404525365921472
60,-0.1212543284827916
61,-1.3851716259266595
62,-2.765339594482498
63,-2.2011085106228165
64,-0.3803843242452558
65,0.16628256853925905
66,1.2102768825362773
67,1.7257452521829464
68,1.156046911793851
69,1.13364674086165
70,2.621883565423218
71,2.888870499382392
72,4.258080238062689
73,1.627288102661737
74,1.599570200348353
75,1.382338008394754
76,1.2818624052055156
77,0.9629518795029526
78,-1.0359810980199882
79,-1.841353500612854
80,-1.5625000061345418
81,0.29709204042001147
82,0.23575856371860482
83,-0.605222239679847
84,-1.4667264089055152
85,-0.5653581371707332
86,0.08215451279704666
87,-0.21483164912501707
88,0.10529139480820504
89,0.3274205137441868
90,1.3706894818197952
91,0.8148884482792482
92,0.285341494914519
93,-0.3960130957719912
94,-1.9027245040778098
95,-1.9645812564256175
96,-1.5111650295609707
97,-1.1520758032442018
98,-1.2874359705940606
99,-2.6258568970134775
100,-3.2751058919347997
101,-3.5396199224759357
102,-4.042541451309717
103,-4.089998249093696
104,-3.3527596123071817
105,-0.9499638377643578
106,0.0034925083499501852
107,0.5066968015078146
108,0.3786789784063558
109,-1.5301949586437331
110,-2.091366591097426
111,-1.994512096937001
112,0.8056228512594998
113,1.311225491885125
114,1.7029109457280356
115,1.396545906993424
116,0.202861194517709
117,0.8458161974333507
118,1.810420096876328
119,2.8309652515015387
120,1.8675497887837764
121,2.853429241783033
122,1.4632541247921154
123,1.6556179126409916
124,3.576052664960116
125,3.164837201995738
126,2.0317788746611996
127,1.5457281405419963
128,0.9423009792914172
129,-0.8900727168073672
130,-1.3006503162890795
131,-2.340047028499498
132,-1.8844526968259743
133,-2.6037750649821874
134,-0.9369417964594504
135,-1.2752179234133791
136,-1.4513019707591184
137,-0.8278527469735764
138,-1.5941596675437495
139,-1.5762618487517557
140,-0.1746488433640252
141,-1.208581818011794
142,-1.3561146479139552
143,-1.1080004462584156
144,0.027410072938323538
145,-1.0003001870635444
146,-2.5155594166030824
147,-2.367839300433161
148,-1.6685715790813447
149,-1.0601867453726754
150,-0.5231602387354997
151,-0.9958097293964556
152,-0.8660314194790999
153,-0.4856018488562768
154,-0.9741744027713821
155,0.7465014995678985
156,1.697982849005939
157,0.7284635749172139
158,0.8159147416506585
159,-0.10769081941430159
160,0.47925658354665757
161,1.678876484170587
162,1.2518366154272371
163,1.8248850416064215
164,2.2617451191945293
165,3.1413942431480564
166,4.928014064566128
167,4.905285379264797
168,3.6772036334766653
169,2.024626476331491
170,0.6642344329920888
171,0.15332530628245422
172,0.4097319184235175
173,0.7724712500618125
174,1.6383320326102648
175,1.7673592516015333
176,3.1157853238919415
177,2.95931318645205
178,5.452504253297889
179,6.273405544538491
180,5.318469762895688
181,3.23716369951876
182,2.9890208023524565
183,2.4944533535101527
184,2.9753057197062844
185,3.277876797916747
186,3.13663730085284
187,1.9036602561524205
188,-0.10228370978802559
189,-1.1458390658588087
190,-0.42918757656980233
191,0.1363467402037486
192,-0.9657341347153761
193,-1.134274746104552
194,-0.6897191541912662
195,-1.279862210625197
196,-1.2933654793185951
197,-1.1353376305511347
198,-2.0658090771866
199,-1.9028091029128973
200,-1.1209294812219923
201,0.3737822447516237
202,1.7596669289599731
203,0.6632490607596537
204,-0.762881200935567
205,-0.6624343450308743
206,0.09592624509764391
207,0.8324041106563982
208,4.79306667266917
209,6.190777215483195
210,7.244676364444786
211,7.633409800872414
212,7.992025947013985
213,7.011256873533625
214,6.980372017481841
215,5.624817513050175
216,4.641705254371459
217,3.413823632211347
218,3.021415790133574
219,4.946715254622177
220,3.383613688322498
221,3.2900692315013202
222,1.2222684329268532
223,0.33088510586878783
224,0.9007234577998133
225,1.3654372906378285
226,0.2077484531571372
227,-0.9147143688071537
228,-0.485480537905687
