,"(p,d,q,P,D,Q,s)",AIC
0,"(3, 1, 1, 1, 1, 3, 12)",270.9510960498846
1,"(2, 1, 4, 1, 1, 3, 12)",271.2157082758798
2,"(3, 1, 3, 1, 1, 3, 12)",271.3554117679788
3,"(4, 1, 1, 1, 1, 3, 12)",272.14529506009353
4,"(0, 1, 4, 1, 1, 3, 12)",272.15237964447067
5,"(3, 1, 2, 1, 1, 3, 12)",272.22263597109213
6,"(2, 1, 4, 0, 1, 1, 12)",272.54571281324445
7,"(3, 1, 3, 0, 1, 1, 12)",272.5804141983353
8,"(3, 1, 1, 1, 1, 4, 12)",272.90923634193905
9,"(3, 1, 3, 2, 1, 0, 12)",272.9494391071945
10,"(2, 1, 4, 2, 1, 0, 12)",272.94965014958257
11,"(3, 1, 4, 1, 1, 3, 12)",273.23311333000754
12,"(1, 1, 1, 1, 1, 3, 12)",273.2815851412554
13,"(3, 1, 1, 2, 1, 3, 12)",273.302876526474
14,"(0, 1, 1, 1, 1, 3, 12)",273.36740561553097
15,"(0, 1, 3, 1, 1, 3, 12)",273.42076293990885
16,"(0, 1, 2, 1, 1, 3, 12)",273.7019927541345
17,"(1, 1, 4, 1, 1, 3, 12)",273.80135973885524
18,"(4, 1, 4, 1, 1, 3, 12)",273.8792720037877
19,"(2, 1, 4, 2, 1, 3, 12)",274.06065747453647
20,"(4, 1, 1, 1, 1, 4, 12)",274.0934360302313
21,"(4, 1, 2, 1, 1, 3, 12)",274.12315526292514
22,"(0, 1, 4, 1, 1, 4, 12)",274.1523414754631
23,"(3, 1, 3, 0, 1, 3, 12)",274.1588736548203
24,"(3, 1, 4, 0, 1, 1, 12)",274.17110826802764
25,"(3, 1, 2, 1, 1, 4, 12)",274.1724693422941
26,"(2, 1, 4, 0, 1, 3, 12)",274.18088771865143
27,"(0, 1, 4, 2, 1, 3, 12)",274.18886127709527
28,"(3, 1, 1, 2, 1, 0, 12)",274.25698215700146
29,"(2, 1, 4, 2, 1, 1, 12)",274.4266839653455
30,"(3, 1, 3, 2, 1, 1, 12)",274.44147235144476
31,"(2, 1, 4, 0, 1, 2, 12)",274.5452271849117
