,"(p,d,q,P,D,Q,s)",AIC
0,"(2, 1, 1, 1, 1, 2, 12)",892.24008342709
1,"(2, 1, 1, 2, 1, 1, 12)",893.9208647818472
2,"(2, 1, 1, 1, 1, 3, 12)",894.0904320064087
3,"(1, 1, 0, 1, 1, 2, 12)",894.2878398850645
4,"(2, 1, 1, 2, 1, 3, 12)",894.4748599270471
5,"(3, 1, 2, 2, 1, 3, 12)",894.6957304679759
6,"(0, 1, 1, 1, 1, 2, 12)",894.9949629932834
7,"(1, 1, 0, 2, 1, 1, 12)",895.0971196481906
8,"(2, 1, 1, 3, 1, 1, 12)",895.3665181506711
9,"(3, 1, 1, 1, 1, 2, 12)",895.607947941747
10,"(0, 1, 3, 1, 1, 2, 12)",895.6551775833142
11,"(2, 1, 2, 1, 1, 2, 12)",895.7555994550372
12,"(0, 1, 1, 2, 1, 1, 12)",896.0247624237566
13,"(1, 1, 0, 1, 1, 3, 12)",896.1260800619316
14,"(1, 1, 1, 1, 1, 2, 12)",896.2215475746477
15,"(2, 1, 0, 1, 1, 2, 12)",896.2428264549401
16,"(3, 1, 3, 1, 1, 2, 12)",896.2977534966469
17,"(1, 1, 0, 2, 1, 3, 12)",896.4759736897969
18,"(0, 1, 3, 2, 1, 1, 12)",896.5053176217746
19,"(1, 1, 2, 2, 1, 3, 12)",896.5399867735745
20,"(3, 1, 1, 2, 1, 1, 12)",896.6889677238402
21,"(1, 1, 0, 3, 1, 1, 12)",896.7421199578379
22,"(0, 1, 1, 1, 1, 3, 12)",896.7496715555915
23,"(0, 1, 2, 1, 1, 2, 12)",896.8042398012784
24,"(2, 1, 2, 2, 1, 1, 12)",896.8092700293882
25,"(1, 1, 1, 2, 1, 1, 12)",896.9754439311263
26,"(2, 1, 0, 2, 1, 1, 12)",897.015345046959
27,"(1, 1, 3, 1, 1, 2, 12)",897.0525141806903
28,"(0, 1, 1, 2, 1, 3, 12)",897.2436142328497
29,"(3, 1, 1, 1, 1, 3, 12)",897.2731036635932
30,"(0, 1, 3, 1, 1, 3, 12)",897.2977185945273
31,"(1, 1, 0, 3, 1, 3, 12)",897.3998842327346
32,"(2, 1, 3, 1, 1, 2, 12)",897.4202055111676
33,"(2, 1, 2, 1, 1, 3, 12)",897.4802412686452
34,"(1, 1, 0, 3, 1, 2, 12)",897.5539936908355
35,"(0, 1, 1, 3, 1, 1, 12)",897.5544151389647
36,"(0, 1, 2, 2, 1, 1, 12)",897.7204846735393
37,"(3, 1, 0, 1, 1, 2, 12)",897.8140716652158
38,"(3, 1, 2, 1, 1, 2, 12)",897.8309923599675
39,"(0, 1, 1, 3, 1, 3, 12)",897.9713478001067
40,"(1, 1, 1, 1, 1, 3, 12)",898.0458005819504
41,"(2, 1, 0, 1, 1, 3, 12)",898.0738757322463
42,"(1, 1, 3, 2, 1, 1, 12)",898.122912767241
43,"(0, 1, 3, 2, 1, 3, 12)",898.1271426569099
44,"(1, 1, 0, 2, 1, 2, 12)",898.1353604549844
45,"(1, 1, 2, 1, 1, 2, 12)",898.1682730553093
46,"(0, 1, 3, 3, 1, 1, 12)",898.1801568338556
47,"(3, 1, 1, 3, 1, 1, 12)",898.1994553072576
48,"(3, 1, 1, 2, 1, 3, 12)",898.2036621254947
49,"(2, 1, 2, 2, 1, 3, 12)",898.291141235549
50,"(2, 1, 2, 3, 1, 1, 12)",898.3360355005304
51,"(1, 1, 1, 2, 1, 3, 12)",898.432754168575
52,"(2, 1, 0, 2, 1, 3, 12)",898.4601002861162
53,"(0, 1, 1, 3, 1, 2, 12)",898.482991112055
54,"(2, 1, 3, 2, 1, 1, 12)",898.5224470038083
55,"(3, 1, 0, 2, 1, 1, 12)",898.5443403009314
56,"(1, 1, 3, 1, 1, 3, 12)",898.5484900573517
57,"(0, 1, 2, 1, 1, 3, 12)",898.6093188488411
58,"(1, 1, 1, 3, 1, 1, 12)",898.6629649679658
