,"(p,d,q,P,D,Q,s)",AIC
0,"(3, 1, 3, 0, 0, 0, 4)",1742.8245291084104
1,"(3, 1, 3, 1, 0, 0, 4)",1744.9674680581534
2,"(3, 1, 3, 0, 0, 1, 4)",1744.997679352875
3,"(2, 1, 2, 0, 0, 0, 4)",1745.474959406747
4,"(3, 1, 3, 2, 0, 2, 4)",1746.3162902406445
5,"(2, 1, 2, 0, 0, 1, 4)",1746.4579680203778
6,"(3, 1, 3, 2, 0, 0, 4)",1746.885930549073
7,"(3, 1, 3, 0, 0, 2, 4)",1746.9085358898155
8,"(3, 1, 3, 1, 0, 1, 4)",1746.9423657757225
9,"(2, 1, 2, 1, 0, 1, 4)",1747.6214173156493
10,"(1, 1, 2, 2, 0, 2, 4)",1747.8101553849453
11,"(3, 1, 3, 2, 0, 1, 4)",1748.064596326026
12,"(2, 1, 1, 2, 0, 2, 4)",1748.066584174339
13,"(3, 1, 3, 3, 0, 2, 4)",1748.0974756991186
14,"(3, 1, 3, 2, 0, 3, 4)",1748.1187494974479
15,"(3, 1, 3, 0, 0, 3, 4)",1748.1865487905202
16,"(3, 1, 3, 3, 0, 0, 4)",1748.2812127862953
17,"(3, 1, 3, 1, 0, 2, 4)",1748.3744150773368
18,"(1, 1, 2, 2, 0, 3, 4)",1749.114080022939
19,"(3, 1, 3, 3, 0, 3, 4)",1749.1716259758666
20,"(1, 1, 2, 3, 0, 2, 4)",1749.378257125037
21,"(2, 1, 1, 2, 0, 3, 4)",1749.5169361410813
22,"(1, 1, 3, 2, 0, 2, 4)",1749.524249703281
23,"(2, 1, 1, 3, 0, 2, 4)",1749.5667141264662
24,"(2, 1, 2, 0, 0, 2, 4)",1749.5681539436314
25,"(1, 1, 1, 2, 0, 2, 4)",1749.6282617155452
26,"(2, 1, 2, 1, 0, 0, 4)",1749.7295033411724
27,"(3, 1, 1, 2, 0, 2, 4)",1749.9556887409371
28,"(3, 1, 3, 3, 0, 1, 4)",1749.965441749455
29,"(3, 1, 3, 1, 0, 3, 4)",1750.0659280152665
30,"(1, 1, 2, 0, 0, 1, 4)",1750.341687180961
31,"(1, 1, 2, 1, 0, 0, 4)",1750.3729836401526
32,"(2, 1, 2, 2, 0, 2, 4)",1750.4418478986368
33,"(1, 1, 2, 0, 0, 0, 4)",1750.4589986199721
34,"(2, 1, 1, 0, 0, 1, 4)",1750.5847538561611
35,"(2, 1, 1, 1, 0, 0, 4)",1750.6273001905754
36,"(1, 1, 1, 2, 0, 3, 4)",1750.704126911538
37,"(2, 1, 2, 0, 0, 3, 4)",1750.7135036011255
38,"(1, 1, 1, 3, 0, 2, 4)",1751.0194822308752
39,"(1, 1, 3, 2, 0, 3, 4)",1751.1893649323747
40,"(1, 1, 3, 3, 0, 2, 4)",1751.1915262883729
